,country,continent,year,happiness
468,Morocco,Africa,2008,
469,Mozambique,Africa,2008,46.5
470,Namibia,Africa,2008,
471,Nigeria,Africa,2008,49.4
472,Rwanda,Africa,2008,43.6
473,Senegal,Africa,2008,46.8
474,Sierra Leone,Africa,2008,30.0
475,Somalia,Africa,2008,
476,Liberia,Africa,2008,42.2
477,Lesotho,Africa,2008,
478,Turkey,Asia,2008,51.2
479,Libya,Africa,2008,
480,Kazakhstan,Asia,2008,58.9
481,Togo,Africa,2008,28.1
482,Tunisia,Africa,2008,
483,Uganda,Africa,2008,45.7
484,Zambia,Africa,2008,47.3
485,Zimbabwe,Africa,2008,31.7
486,Afghanistan,Asia,2008,37.2
487,Sudan,Africa,2008,
488,Bangladesh,Asia,2008,50.5
489,Bhutan,Asia,2008,
490,Cambodia,Asia,2008,44.6
491,China,Asia,2008,48.5
492,India,Asia,2008,51.5
493,Indonesia,Asia,2008,48.2
494,Iran,Asia,2008,51.3
495,Bahrain,Asia,2008,
496,Tanzania,Africa,2008,43.8
497,Tajikistan,Asia,2008,50.6
498,Israel,Asia,2008,72.6
499,Nepal,Asia,2008,44.4
500,Kuwait,Asia,2008,
501,Lebanon,Asia,2008,45.9
502,Malaysia,Asia,2008,58.1
503,Maldives,Asia,2008,
504,Mongolia,Asia,2008,44.9
505,Jordan,Asia,2008,49.3
506,Oman,Asia,2008,
507,Philippines,Asia,2008,45.9
508,Qatar,Asia,2008,
509,Saudi Arabia,Asia,2008,68.1
510,Singapore,Asia,2008,66.4
511,Sri Lanka,Asia,2008,44.3
512,Syria,Asia,2008,53.2
513,Pakistan,Asia,2008,44.1
514,Japan,Asia,2008,59.1
515,Iraq,Asia,2008,45.9
516,Thailand,Asia,2008,56.4
517,South Sudan,Africa,2008,
518,Turkmenistan,Asia,2008,
519,Uzbekistan,Asia,2008,53.1
520,Vietnam,Asia,2008,54.8
521,Yemen,Asia,2008,
522,Albania,Europe,2008,
523,Armenia,Europe,2008,46.5
524,Austria,Europe,2008,71.8
525,Azerbaijan,Europe,2008,48.2
526,Belarus,Europe,2008,54.6
527,Bosnia and Herzegovina,Europe,2008,
528,Bulgaria,Europe,2008,
529,Croatia,Europe,2008,
530,Cyprus,Europe,2008,
531,Czech Republic,Europe,2008,
