,Unnamed: 0,country,continent,year,happiness,democracy_score,index_of_functioning_goverment,code,population,women_in_parliament_%,daily_income_usd,income_inequlity
1777,1777,Benin,Africa,2017,48.5,56.1,53.6,BEN,11175192.0,7.23,2.84,48.1
1778,1778,Botswana,Africa,2017,35.0,78.1,71.4,BWA,2205076.0,10.3,8.17,53.3
1780,1780,Cameroon,Africa,2017,50.7,36.1,28.6,CMR,24566070.0,24.8,5.41,46.7
1782,1782,Kenya,Africa,2017,44.8,51.1,53.6,KEN,50221146.0,23.3,3.44,40.5
1785,1785,Ethiopia,Africa,2017,41.8,34.2,35.7,ETH,106399926.0,37.3,3.47,35.6
1786,1786,Gabon,Africa,2017,47.8,36.1,22.1,GAB,2064812.0,18.1,9.85,38.0
1788,1788,Ghana,Africa,2017,54.8,66.9,57.1,GHA,29121464.0,11.6,6.96,43.5
1791,1791,Turkey,Asia,2017,56.1,48.8,60.7,TUR,81116451.0,16.6,19.8,41.4
1792,1792,Mali,Africa,2017,47.4,56.4,39.3,MLI,18512429.0,9.52,2.59,32.2
1793,1793,Lesotho,Africa,2017,38.0,66.4,50.0,LSO,2091532.0,22.9,4.67,44.9
1795,1795,Mauritania,Africa,2017,46.8,38.2,35.7,MRT,4282582.0,20.5,5.9,32.5
1796,1796,Mauritius,Africa,2017,61.7,82.2,82.1,MUS,1264613.0,16.7,13.8,36.8
1797,1797,Morocco,Africa,2017,53.1,48.7,46.4,MAR,35581257.0,18.7,11.0,39.5
1798,1798,Mozambique,Africa,2017,42.8,40.2,21.4,MOZ,28649007.0,40.6,2.73,54.8
1799,1799,Namibia,Africa,2017,44.4,63.1,53.6,NAM,2402623.0,33.9,10.8,58.9
1800,1800,Niger,Africa,2017,46.2,37.6,11.4,NER,21602388.0,14.8,2.69,34.5
1801,1801,Nigeria,Africa,2017,53.2,44.4,46.4,NGA,190873247.0,4.93,2.8,35.9
1802,1802,Rwanda,Africa,2017,31.1,31.9,50.0,RWA,11980960.0,60.8,2.58,43.7
1803,1803,Senegal,Africa,2017,46.8,61.5,60.7,SEN,15419354.0,41.8,3.71,40.4
1804,1804,Sierra Leone,Africa,2017,40.9,46.6,18.6,SLE,7488427.0,12.3,2.74,35.5
1806,1806,South Africa,Africa,2017,45.1,72.4,75.0,ZAF,57009751.0,42.8,11.2,63.3
1807,1807,Liberia,Africa,2017,44.2,52.3,25.7,LBR,4702224.0,9.86,2.63,35.3
1809,1809,Guinea,Africa,2017,48.7,31.4,4.3,GIN,12067516.0,22.5,3.48,33.4
1810,1810,Libya,Africa,2017,56.5,23.2,3.6,LBY,6580723.0,16.0,12.3,38.0
1811,1811,Kazakhstan,Asia,2017,58.8,30.6,21.4,KAZ,18037776.0,10.6,12.0,27.4
1812,1812,Lebanon,Asia,2017,51.5,47.2,25.7,LBN,6819373.0,4.51,22.9,31.8
1813,1813,Zambia,Africa,2017,39.3,56.8,50.0,ZMB,16853608.0,15.9,2.94,57.1
1814,1814,Zimbabwe,Africa,2017,36.4,31.6,20.0,ZWE,14236599.0,34.5,3.97,44.3
1815,1815,Afghanistan,Asia,2017,26.6,25.5,11.4,AFG,36296111.0,27.8,2.81,37.7
1819,1819,Tunisia,Africa,2017,41.2,63.2,57.1,TUN,11433438.0,26.1,11.4,32.8
1821,1821,India,Asia,2017,40.5,72.3,67.9,IND,1338676779.0,11.7,4.56,35.7
1822,1822,Indonesia,Asia,2017,51.0,63.9,71.4,IDN,264650969.0,17.1,6.68,38.1
1824,1824,Iraq,Asia,2017,44.6,40.9,0.7,IRQ,37552789.0,25.3,6.75,29.5
1825,1825,Israel,Asia,2017,73.3,77.9,75.0,ISR,8713300.0,24.6,37.4,38.6
1826,1826,Cambodia,Asia,2017,45.9,36.3,57.1,KHM,16009413.0,16.6,4.36,40.4
1827,1827,Malawi,Africa,2017,34.2,54.9,42.9,MWI,17670193.0,20.4,2.11,44.7
1828,1828,Uganda,Africa,2017,40.0,50.9,35.7,UGA,41166588.0,17.0,3.25,43.0
1829,1829,Togo,Africa,2017,43.6,30.5,7.9,TGO,7698476.0,16.3,2.81,43.0
1830,1830,Jordan,Asia,2017,48.1,38.7,42.9,JOR,9785840.0,13.5,11.7,34.1
1831,1831,Thailand,Asia,2017,59.4,46.3,42.9,THA,69209817.0,12.9,16.0,36.5
1834,1834,Mongolia,Asia,2017,53.3,65.0,57.1,MNG,3113788.0,16.1,9.12,32.5
1835,1835,Nepal,Asia,2017,47.4,51.8,53.6,NPL,27632682.0,34.3,5.06,31.9
1837,1837,Pakistan,Asia,2017,58.3,42.6,53.6,PAK,207906210.0,19.8,4.98,31.9
1838,1838,Philippines,Asia,2017,55.9,67.1,57.1,PHL,105172921.0,28.3,6.35,43.0
1840,1840,Saudi Arabia,Asia,2017,62.9,19.3,28.6,SAU,33101183.0,19.9,51.9,35.5
1841,1841,Singapore,Asia,2017,63.8,63.2,78.6,SGP,5612253.0,23.4,63.2,40.9
1842,1842,Sri Lanka,Asia,2017,43.3,64.8,71.4,LKA,21444000.0,5.11,8.82,39.4
1844,1844,Tajikistan,Asia,2017,58.3,19.3,7.9,TJK,8880270.0,17.4,7.41,34.1
1845,1845,Tanzania,Africa,2017,33.5,54.7,50.0,TZA,54660345.0,36.7,2.74,40.5
1846,1846,Kuwait,Asia,2017,60.9,38.5,42.9,KWT,4056102.0,2.37,57.0,35.4
1847,1847,Japan,Asia,2017,59.1,78.8,82.1,JPN,126785797.0,16.6,47.7,32.9
1848,1848,Madagascar,Africa,2017,40.8,51.1,35.7,MDG,25570511.0,17.4,1.56,42.8
1849,1849,Algeria,Africa,2017,52.5,35.6,22.1,DZA,41389174.0,25.8,9.23,27.3
1850,1850,Italy,Europe,2017,62.0,79.8,64.3,ITA,60536709.0,32.7,43.2,35.9
1851,1851,Albania,Europe,2017,46.4,59.8,47.1,ALB,2873457.0,27.9,8.73,33.2
1852,1852,Armenia,Europe,2017,42.9,41.1,28.6,ARM,2944789.0,17.1,7.81,33.6
1853,1853,Austria,Europe,2017,72.9,84.2,82.1,AUT,8797566.0,33.1,57.6,29.7
1855,1855,Belarus,Europe,2017,55.5,31.3,28.6,BLR,9458989.0,32.1,18.8,25.4
1856,1856,Belgium,Europe,2017,69.3,77.8,89.3,BEL,11375158.0,43.2,49.8,27.4
1857,1857,Bosnia and Herzegovina,Europe,2017,50.9,48.7,29.3,BIH,3351534.0,20.2,23.0,32.7
1858,1858,Bulgaria,Europe,2017,51.0,70.3,64.3,BGR,7075947.0,23.8,20.8,40.4
1859,1859,Croatia,Europe,2017,53.4,66.3,60.7,HRV,4124531.0,15.2,22.2,30.4
1860,1860,Cyprus,Europe,2017,60.6,75.9,64.3,CYP,1179685.0,16.8,43.5,31.4
1861,1861,Czech Republic,Europe,2017,67.9,76.2,64.3,CZE,10594438.0,22.0,31.7,24.9
1862,1862,Denmark,Europe,2017,75.9,92.2,92.9,DNK,5764980.0,38.3,56.4,28.8
1863,1863,Estonia,Europe,2017,59.4,77.9,78.6,EST,1317384.0,26.7,34.8,30.4
1864,1864,France,Europe,2017,66.4,78.0,75.0,FRA,66918020.0,35.2,53.9,31.6
1865,1865,Romania,Europe,2017,60.9,64.4,57.1,ROU,19588715.0,14.2,16.5,36.0
1866,1866,Portugal,Europe,2017,57.1,78.4,75.0,PRT,10300300.0,36.7,28.7,33.8
1867,1867,Mexico,North America,2017,64.1,64.1,64.3,MEX,124777326.0,46.7,13.6,45.8
1868,1868,Finland,Europe,2017,77.9,90.3,89.3,FIN,5508214.0,44.3,52.1,27.4
1869,1869,Georgia,Europe,2017,44.5,59.3,42.9,GEO,3728004.0,9.91,7.98,37.9
1870,1870,Turkmenistan,Asia,2017,52.3,17.2,7.9,TKM,5757667.0,23.2,9.89,44.7
1871,1871,Greece,Europe,2017,51.5,72.9,53.6,GRC,10754679.0,21.8,22.6,34.4
1872,1872,Hungary,Europe,2017,60.7,66.4,60.7,HUN,9787966.0,11.8,23.9,30.6
